P45985	Q14315
O95671	P48775
O75525	Q8TBE0
Q8WWV3	Q9Y2W2
P38159	Q8N5R6
P51668	Q9HCM9
O43791	Q05516
Q01844	Q8WWF6
O43617	O75865
O14548	P43364
Q15834	Q9UGJ1
Q16630	Q9H0M0
Q96NE9	Q9Y3Q8
Q8IYF3	Q8WW14
Q14061	Q9BW62
P18206	Q9NYB9
P13798	P13798
P49327	Q01844
Q8NFF5	Q9NRG1
P19634	Q99750
Q53G59	Q9H204
Q12933	Q9UBZ4
Q6ZVK8	Q96CG3
P43364	Q9GZT8
Q96T60	Q9BQ66
Q15475	Q99750
P23297	P25815
P67775	Q15645
P28749	Q9BUH8
O14964	Q5VSY0
O95376	Q16851
Q13049	Q9UMX0
O14641	Q7Z7J5
O75886	Q15038
P36406	Q0VDD7
P63279	Q01826
O94972	P51116
P26992	Q92624
O15162	Q9GZM5
P08727	Q9NYB9
O43597	O60269
P08651	Q8WYQ9
Q15654	Q96HA1
Q6ZVK8	Q8TBN0
Q01844	Q9NVX2
Q99750	Q9UKJ5
Q01844	Q8NEH6
Q13526	Q7Z5J4
P08651	Q9P0L1
P51116	P61289
P04155	Q9UMX0
Q01844	Q8WUY3
Q9BQD3	Q9UPT5
Q9HCM9	Q9Y577
Q13137	Q8N2W9
O75525	Q92530
Q96IT1	Q9NWS9
Q05516	Q12933
O95967	Q9NRQ2
O00308	Q01844
Q6P1W5	Q8NDC0
Q969F0	Q96D59
O95544	Q8TBB1
Q99750	Q99750
P51116	Q12933
Q6NW29	Q8N5Z5
O14639	Q08379
Q15645	Q96LM6
P43364	Q12906
P13805	Q15834
O75558	Q9Y6J9
P35900	Q15834
Q12933	Q8IYF1
P51116	Q86SE5
P43686	P62195
Q8N8B7	Q96LR2
O94818	P43364
P38159	Q9BTL3
Q01105	Q9BT49
Q7Z7J5	Q96BY2
Q13191	Q9H8Y8
O76071	Q9Y3D0
Q5T681	Q99750
Q15654	Q5VWP2
Q9BRK4	Q9P286
Q13191	Q16526
O75791	P61978
Q8ND30	Q99816
Q12933	Q9UM82
Q02080	Q8IYF3
P31947	Q9H8W4
O95251	Q96ED9
O14639	Q9BUH8
Q96MA1	Q9NZQ3
O96006	Q9GZT8
Q12929	Q15834
P61978	P61978
P43364	Q96AJ1
O95967	Q96EQ0
P21673	Q8IY81
Q9H0I2	Q9Y3Q8
P36406	P55040
O76064	Q9C0F1
P15622	Q9BQ66
P51116	P61457
Q7Z5J4	Q96BS2
P51116	Q96CW1
Q92624	Q969V5
O94972	O95990
Q00587	Q93062
P12814	Q13426
Q12933	Q8N8B7
P19012	Q9BT92
P51116	Q9NVV9
Q9NS73	Q9NS73
Q8TAP6	Q96EK5
P63279	Q9UI36
Q15645	Q8WXK3
O75427	Q9NQC3
Q13137	Q8N5R6
P43364	Q16206
O60232	Q96JP2
Q15645	Q15645
P63010	Q96C10
Q8IY31	Q9UPT5
O60496	Q96EK5
Q6ZVK8	Q9BQD3
Q15038	Q9UNA4
O75438	Q01844
P14373	Q8TES7
O60711	Q9BUY5
Q08E93	Q9BQ66
P36575	Q14749
P40692	P63010
Q8IYF3	Q96IQ9
Q15013	Q15645
A8K8P3	Q96JH8
P98170	Q96FJ2
O75525	P38159
P10644	Q9BSF0
O00151	P14136
Q8IYX3	Q99750
P25786	Q13137
P50542	Q9NTG7
O43395	Q15834
P15622	Q08379
O60238	Q01844
P63279	Q8IVD9
P54652	Q9NZL4
O14764	Q9UMX0
P84243	Q96KQ7
P50479	Q93062
Q13526	Q9UJY4
Q15834	Q9BT78
Q8TBN0	Q8TBN0
P14136	Q6ZU52
P19012	Q96ES7
Q96T60	Q9NP98
P14373	Q05516
Q9UNF0	Q9UNF0
O75150	Q9BSJ1
P19012	Q53FD0
Q96ME1	Q9BQ66
P63010	Q9BXS5
Q8TBB1	Q8TC92
Q8N6Y0	Q9NTK1
Q99877	Q9P287
O15162	Q8WV24
Q01844	Q96CB9
O95751	O95990
O60269	Q99750
Q96GA7	Q96GA7
P14923	Q13490
P23528	P63261
Q8NEA6	Q9UMX1
P42330	P43364
O43167	Q99750
Q9NP79	Q9UI14
Q15834	Q8TES7
Q15154	Q8WYH8
Q12933	Q92530
Q8N140	Q92624
O14964	Q8N6Y0
Q8TBE0	Q9BUH8
P43364	Q9H875
O14978	O95967
Q7L590	Q96ED9
P33316	Q9UM82
Q7Z6G3	Q9BU64
P98175	Q86V42
P38159	Q8TBB1
O76003	O95544
P04259	P08727
O95751	P15407
Q12933	Q9H0I2
Q01844	Q13601
P51116	Q9HAF1
Q15834	Q9BT49
P43364	Q6ZU52
P26599	Q13137
Q15834	Q9HAF1
O95967	Q8NEC5
Q12933	Q9NZD8
Q9NTM9	Q9P1W9
Q92530	Q96C03
P09012	P26599
Q86UW9	Q9BQY4
P61289	Q64LD2
O95751	P19012
O96006	P0DI82
P40692	Q14134
Q92530	Q96ED9
Q13137	Q3YEC7
Q96QG7	Q9Y6C2
O15162	Q15637
Q9H3Q1	Q9NNW5
O75177	Q15427
Q14088	Q9UI14
P63261	P63261
Q12933	Q8N9N5
Q8NEM2	Q96AP4
P61289	Q8TBK6
Q6ZU52	Q99750
Q86U70	Q9BWG4
O75604	Q7L4P6
Q6UWE0	Q99816
Q8NEK8	Q9BQY4
P25791	P42224
Q7Z6G3	Q96HA8
Q96EZ8	Q9C0F1
Q15645	Q6BCY4
O75344	Q9Y5B8
P63165	Q8NCR3
Q14134	Q9BZW7
O43734	Q12933
Q14566	Q9UBH0
P19012	Q8N6Y0
Q86UW9	Q9UM19
O14641	Q96CW1
O14777	Q9UL45
P49247	Q8TBB1
Q12933	Q9GZT8
O15162	Q8N5R6
Q13137	Q9UBL6
P62333	Q15834
P19012	Q96IX9
Q15154	Q5VYK3
P14174	Q9H8Y8
O00746	P15531
P05783	P19012
Q01844	Q9H0M0
P09012	Q9BQ61
O95379	Q9NPJ6
P51116	Q15834
Q5JSZ5	Q96KQ7
Q53G59	Q7Z614
Q14919	Q9NRF9
O43765	P10124
Q14966	Q96EK5
P63010	Q16626
P37198	Q96QU8
O60232	Q9BVV2
Q9UBQ5	Q9Y262
O95751	Q9H9D4
O75379	Q12846
Q96CG3	Q9H190
O95751	P18848
Q9C005	Q9UBL3
P35900	P35900
Q15834	Q8TAU3
O15287	Q06547
P46976	Q96HA1
O14964	Q96KQ7
Q02040	Q9Y2I6
Q12933	Q6ZU52
Q8TBE0	Q9BQ66
P26368	Q9UKJ5
O14777	Q53G59
Q9GZT8	Q9GZT8
Q8IYF1	Q9BQD3
O95967	Q9HB75
Q6UY14	Q9HB63
O15162	Q9H7M9
O00161	Q9NYB9
Q15645	Q96FJ0
Q15834	Q8NEF3
P43364	Q9NP79
Q8WUT4	Q99750
O94993	Q12933
Q8TES7	Q9BQY4
Q96HB5	Q99418
Q01844	Q96G75
P38936	Q8IYF3
Q15834	Q9BXY8
O15162	O95967
Q9NZQ3	Q9UQB8
O60711	Q96BD5
P62491	Q8TBN0
O14879	P09914
O96006	Q9HCN4
O60936	P78324
P21673	Q9BQ70
O75909	Q8N6Y0
P60709	P60981
Q15645	Q9BSH5
P02538	Q9Y3C0
P29972	Q99750
Q07352	Q16539
Q9BVJ6	Q9Y2I6
Q15834	Q9NX63
Q05516	Q9P209
Q8WZ19	Q9NP79
Q13155	Q15046
O14641	Q96EZ8
Q15645	Q86YR5
Q13247	Q15287
P43364	Q96EZ8
P45984	Q9C0F1
Q12933	Q8TBB1
O75478	O95990
Q9NPC3	Q9NPC3
Q96EK5	Q9BS34
P17482	Q9BQ66
P63279	Q13422
Q92624	Q96ES6
Q7Z7J5	Q9C0A6
P55055	Q99750
Q6P1W5	Q93062
P51116	Q5T681
Q9BUH8	Q9H4E7
P43005	Q01844
Q15834	Q9BSW7
Q9BQ66	Q9P2Z0
Q96AQ6	Q9Y3C0
Q01844	Q9BPW5
P51116	Q5VSY0
Q14749	Q9H8W4
P01871	Q9P209
Q7Z6G3	Q9NP79
Q13136	Q14738
Q06830	Q14653
Q12906	Q15654
O14641	Q8N4T4
Q12933	Q9UHB7
P0CG48	Q15038
Q3YEC7	Q93062
O75525	Q8N5R6
Q8WYH8	Q9BQD3
Q7Z6B0	Q96BS2
Q8N5R6	Q9BQD3
O95751	Q7L190
O60224	Q16665
P14136	Q9NR12
Q9BRK4	Q9P0T4
P15622	Q9BUH8
O75791	Q93062
P43364	Q9Y2X8
O14641	P36575
Q8NI60	Q9UI14
Q8N187	Q8TAP4
Q9NR22	Q9NR22
O00273	Q01844
O43189	Q93062
Q15645	Q9BXL6
O95990	P08670
Q93062	Q93062
P49247	Q9NP79
Q8IYX0	Q99750
O60504	P38159
O95751	Q05516
P49761	Q9BUV0
P07910	Q96IZ5
O15015	Q9Y2I6
O15162	Q9BVI4
P43364	Q7Z614
O15015	Q12933
Q15834	Q9BUY5
O60763	Q06547
Q96DX5	Q9NWT6
P43243	P61978
P78381	Q99750
P10451	Q9NR12
O15162	P04899
Q6RW13	Q6RW13
Q07869	Q96MF2
P08727	Q15154
Q16526	Q99750
P25786	Q9Y3Q8
O14639	Q12933
Q15834	Q7L5A3
Q9H8W4	Q9NQC3
Q01844	Q9Y2I8
Q13069	Q8NEA9
P36406	Q15637
P38159	Q5VWX1
P48059	Q99708
O43809	Q9GZT8
P24278	Q99750
P13994	P49910
P19012	Q7Z3B3
O75909	O95967
Q9NWV8	Q9NXR7
O75525	Q8TBB1
Q5JR59	Q9NTW7
O43353	P63279
O75909	Q8N5I3
P13805	Q96S99
Q5T681	Q9BQ66
Q96H86	Q9BQ66
Q13526	Q8NF64
Q96EN9	Q99750
Q13432	Q96GX8
Q99961	Q99961
P47804	Q96EK5
P17040	P57086
Q8NA54	Q99750
P53365	Q96EV8
P11802	P55273
Q9BVK8	Q9P2A4
O95967	P46379
Q9NZD8	Q9UI14
O43395	Q969Y2
Q9HAC8	Q9HCM9
O15162	Q9H0B3
P60953	Q00587
O43298	Q8IYF1
Q8NEC5	Q9BUH8
O43791	Q7Z7J5
Q14141	Q8WYJ6
Q14781	Q9BQ66
Q86SE5	Q96EZ8
Q6ZU52	Q9P2A4
Q15834	Q5VWN6
Q86V42	Q8N5F7
P84101	Q9BQY4
P35900	Q13057
Q15834	Q8N5R6
O43281	Q8N5H7
P10074	Q96L11
P07910	Q15834
Q12933	Q5T124
Q15637	Q92841
O75864	Q8N7W2
Q8IYF3	Q9Y3Q8
Q15645	Q8N720
Q8TC90	Q99750
O75344	O75909
P62244	Q01844
Q7Z6G3	Q9BY27
O14832	P43364
P49366	Q6ZVK8
O95990	Q8N6Y0
P26641	Q658K8
P19012	Q9UGJ1
A0PJI9	Q96KQ7
Q92841	Q9Y2W2
Q99750	Q9H0I2
O75558	O75909
Q8N5I3	Q8N5I3
Q8N6Y0	Q8TES7
Q15834	Q8TBB1
Q16526	Q9BQ66
Q15834	Q9NXE8
P35520	P51116
O60269	P62258
Q8WWV3	Q9UPT5
Q6ZU52	Q9BUH8
Q14566	Q53TS8
O43251	Q9BQY4
O00308	Q15637
O14964	Q8IYI6
Q14749	Q9GZT8
Q01844	Q16630
P55064	Q99750
P49321	P68431
Q01844	Q9NQ32
O75909	Q8HWS3
Q13137	Q8IZC7
P33993	Q9Y5S9
O95199	O95199
Q8IYF3	Q9P218
P36406	Q96HA1
O43889	Q92624
Q96DC7	Q9UMX0
Q8TAP6	Q9Y467
O94972	Q9H4K1
Q9GZM8	Q9NS73
O15162	Q9H0I2
Q15078	Q9Y3Q8
Q96CW1	Q9NPJ6
P35900	Q96IX9
O00444	P31947
Q8N6Y0	Q96GM5
O14879	P09913
P60002	Q49AR2
P56545	Q9Y5P3
Q01844	Q9H869
P14923	Q96HA8
Q15038	Q9P0T4
Q07002	Q15834
Q8N6Y0	Q96CN9
P43364	Q96DC9
Q13137	Q9Y4Z0
P18206	Q0VDD7
Q9UK33	Q9Y3Q8
O95985	Q9BQ66
Q8WUY3	Q96D15
P26368	Q9UHX1
Q8NE01	Q9BQ66
P19012	Q8N715
P14868	Q13155
Q01844	Q96D59
P21673	Q9Y3Q8
P63279	Q9NR12
Q96LJ7	Q99750
Q9NRF8	Q9NZD8
Q969X0	Q969X0
Q13422	Q96CW1
Q92917	Q9Y2I6
O60941	Q12933
Q15102	Q8TBB1
P53816	Q9UMX0
O94972	Q8TCX5
P50552	Q96MA1
Q6UY14	Q8NEC5
O60568	Q9UHL3
Q8N6V9	Q8NEF3
Q9H190	Q9NP64
P43364	Q8N490
O00746	Q15645
O60547	O60547
Q9BQ66	Q9UQ90
Q8N6Y0	Q9BT78
P52306	Q9NS73
P84101	Q99750
Q8IYF3	Q96M91
P56278	Q01844
O60573	Q9NRA8
Q15038	Q16718
Q08379	Q9UGJ1
Q92624	Q96S15
O00295	Q01844
Q96LK0	Q9UNT1
P08670	P35900
P54725	Q13501
P60896	Q5JVF3
Q5JVF3	Q6ZVN7
Q8N4T4	Q93062
P05161	Q9UMW8
O95751	P48552
P36406	Q9UJY4
O43298	Q8TAP4
Q15834	Q9BRK4
Q15834	Q15910
O60238	O60238
Q9BQ66	Q9UKJ5
P19012	Q9P2K3
O75558	P60880
Q15645	Q6P9B6
Q9UBY9	Q9UJY1
Q8N336	Q9NWX6
P49247	Q96HA8
P19012	P35900
P47897	Q12933
Q9BQ66	Q9BQ66
Q96JH8	Q9BQY4
P09493	Q9BQD3
O14641	P26368
P83876	Q8TAI7
Q15834	Q9H5V7
Q7Z7J5	Q96AQ6
Q14005	Q8N6Y0
Q01844	Q93062
Q96E35	Q9UJ83
Q9BRK4	Q9Y2I6
Q14687	Q6ZVK8
Q15038	Q9NY61
Q99750	Q9BR84
P51116	Q9UI14
P15104	Q9H8W4
Q8N6Y0	Q969F0
P49247	P49247
P23276	Q01844
P60228	Q9HC44
Q15345	Q93062
P29353	Q13137
P19012	Q99816
Q6ZVK8	Q96GX9
O95751	Q9NVN8
P43364	Q9GZM8
Q12933	Q9NRN7
P49639	Q9UKJ5
P19237	Q15834
Q12906	Q9BQ66
O60293	Q9Y2I6
P08670	P14136
Q9UK33	Q9Y620
P15622	Q9UJC3
Q16630	Q9H6L4
Q01844	Q9NPC6
Q8TES7	Q9NWT6
Q9UI36	Q9UJ70
P27448	P31947
Q8IY31	Q9BQD3
Q01844	Q96AQ9
P13994	P17028
O14641	Q96CG3
P18848	Q9BQ50
Q9BU76	Q9NVV9
Q96ES6	Q99750
Q15834	Q8N715
P60520	Q13137
P56545	Q99594
P24278	P45984
P48378	Q8HWS3
O15162	O94817
Q00013	Q9Y2J4
O15015	P63279
Q96GA7	Q9UGJ1
Q9BQY4	Q9BTL3
P12277	Q96DX5
Q96GG9	Q9HCM9
Q86YR5	Q8N6Y0
P09467	Q63HM2
Q96A72	Q9NP66
P20340	Q92871
O15287	O96006
Q8IYX3	Q9BQ66
Q86YM7	Q9P2A4
P49910	Q9NWS9
Q7Z3B3	Q9Y2I6
Q15102	Q15102
P17096	Q01844
O00161	Q9P2A4
P61978	Q9BTD8
Q13137	Q15906
O94972	Q13895
Q8N5I3	Q9BY27
Q16828	Q99750
O60504	Q5T5P2
P32321	Q8TAP6
O75909	Q93062
Q12933	Q9BT49
O14964	Q13287
Q8N715	Q9BQ66
Q8IY31	Q8TES7
Q15834	Q9Y580
P25786	P51946
O60232	Q8N5R6
O43809	Q8N684
O75084	Q9UMX0
P0CG47	Q15038
Q9H668	Q9UGJ1
O75541	Q96LR2
Q93062	Q9P0T4
Q14296	Q99750
Q9UJX2	Q9Y620
Q96QG7	Q96QG7
P43364	Q9Y6M9
O75604	Q15834
P43364	Q9NP98
P46379	Q53G59
O60516	O60573
P54725	Q96S82
P09327	Q8IYF3
O15162	Q8WWR8
Q96CG3	Q9GZT8
Q53G59	Q8TBB1
Q13257	Q9Y3Q8
Q13501	Q9H0R8
O95544	Q6ZVK8
P49407	Q14749
O14777	Q9Y3C0
Q9H8W4	Q9Y4P9
O43298	Q7L590
P22234	P51116
P62854	Q969E8
P25786	Q13287
Q12933	Q8N5R6
Q15233	Q9Y6D9
Q15834	Q9C0A6
Q15834	Q9Y247
P62166	Q86UW9
O95198	Q53G59
Q9H0L4	Q9UMX0
P61978	Q9Y580
Q14872	Q9BXS5
Q99961	Q9H788
Q96M95	Q9Y3Q8
P16860	Q01844
O75800	Q9Y3Q8
Q7L4P6	Q9NSA3
Q6ZVK8	Q8WZ19
Q06547	Q8TAP4
Q9BW83	Q9Y547
P61964	Q9NS73
O75177	Q8HWS3
Q9Y5P4	Q9Y5P4
Q8N5R6	Q8N6Y0
Q8N5F7	Q9NVV9
Q86SE5	Q86SE5
Q14687	Q93062
P02538	Q15834
Q9BQ66	Q9BUY5
Q8IUQ4	Q9UHB7
P63010	Q9UGJ1
O15162	P17509
Q93062	Q9UJX2
Q14749	Q6ZVK8
Q8TAU3	Q9BUH8
P27658	Q53G59
Q86UW9	Q8HWS3
Q01844	Q15011
P49247	Q9GZT8
Q13867	Q8WVZ9
Q15038	Q9H0E2
Q15834	Q96C24
Q01844	Q8N6Q3
Q14558	Q14558
Q96SK3	Q99750
Q8NEU8	Q9UL26
O95817	Q15884
Q15834	Q96BY2
Q8N612	Q9UI14
P61289	Q7Z3B3
Q9BY27	Q9NS73
Q12933	Q86TN4
Q99750	Q9BT49
Q9UL45	Q9UL45
Q8N5Z5	Q9GZT8
P32242	Q99750
P63279	Q9UKT9
O43298	Q12933
P08727	P19012
O15162	Q02218
O43889	P50402
Q9H8W4	Q9HC44
Q59EK9	Q96CW1
P62899	Q01844
P01116	P07910
Q13137	Q9Y4E5
P09467	P51116
Q03518	Q9BQ66
Q96CN9	Q9Y2J4
O60232	O75865
O15162	Q96RN5
O94972	Q8N720
Q9BTE1	Q9Y2I6
O95721	Q96LR2
Q8WW01	Q9H094
P17858	Q9BQ66
O94875	P62258
Q01844	Q15906
O96019	Q01844
Q13526	Q99750
O43597	Q12933
O95201	Q15834
Q9H4K1	Q9NSU2
Q9BV20	Q9BV20
Q15233	Q9H8W4
Q96K80	Q96K80
Q12933	Q9UKG1
O95967	P29972
Q7L8J4	Q9Y2I6
O43734	Q99750
P78364	Q9UHJ3
Q15645	Q8TBB1
A9UHW6	O14964
Q12933	Q9H8Y8
P07910	P07910
P43364	Q52LW3
Q9H8Y8	Q9Y620
Q03014	Q9BQ66
P60520	Q9BXK5
Q8TC90	Q93062
Q8WXK3	Q9NWT6
Q12906	Q99750
O00444	Q5VWP2
P08727	Q9NTK1
Q9UJ04	Q9Y2I6
Q13137	Q9BQY9
O75604	P19012
Q8TES7	Q96CN9
O60711	Q9NV31
P51668	Q9BV68
P45984	Q15427
O60763	Q6P1W5
Q9BRT9	Q9Y248
Q13137	Q14966
P19012	Q8TAB5
O15162	Q9UHH9
Q9H0I2	Q9NR12
P08670	Q6ZU52
Q9BWG4	Q9UBH0
P54725	Q01844
Q8NHQ1	Q9BVJ6
Q12933	Q9Y4K3
O95751	Q9NY61
P27482	Q9H0B3
O14978	Q9NWS9
P10276	P48443
O60711	P48059
Q15475	Q15834
P31947	Q96HA8
Q12933	Q9BZY9
O14641	Q8IYF1
Q15834	Q7L8L6
Q15645	Q93062
Q86SE5	Q9GZN8
Q8NDP4	Q9BQ66
Q8NFF5	Q8NFF5
Q13155	Q8TAP4
Q15834	Q96IZ5
Q8IV36	Q99708
O60232	Q14005
P08134	Q07960
O43617	Q9UL33
O94818	P56545
Q14134	Q9BRK4
P25786	Q9Y620
Q15834	Q96HB5
Q8N6T7	Q9UKW6
Q8TES7	Q96QU6
Q53G59	Q92997
P51116	Q9UIC8
O75525	Q6ZVK8
Q8IYF3	Q9H4K1
Q14966	Q9BQ66
Q13418	Q9NVD7
Q6ZU52	Q96ED9
Q969Y2	Q969Y2
P30304	P41227
Q969J3	Q9UHX1
P43364	P58340
P43364	Q68CQ4
O75909	Q8TAP6
Q13137	Q96ME1
Q15834	Q9NTK1
O75438	Q16718
Q96H20	Q9BRG1
P49902	Q9Y5B8
P62263	Q16594
O95751	P15622
O76003	Q9BQ66
P43364	Q01844
Q15561	Q9GZV5
Q15834	Q53H80
Q9UKI2	Q9UKI2
O95197	Q8N612
P28799	Q96AQ9
Q8N7W2	Q9H190
Q8TBB1	Q96CG3
O60941	Q15834
Q53EZ4	Q96HA1
O95751	Q9H5V7
Q15645	Q86UW9
Q5D1E8	Q92844
Q96ED9	Q9UBZ4
O15162	Q96ME1
O60568	Q96KQ7
O94817	Q9BQ66
P21673	Q9BSH4
P02794	P51116
O43663	P35900
Q7Z7J5	Q9H190
P13798	Q9GZZ9
P63010	Q5SW96
P14923	Q9H4K1
O43639	Q9NYB9
O95197	Q9NQC3
P35900	Q9NYB9
Q15038	Q8WV99
Q9HCM9	Q9Y2X8
Q8TBB1	Q9P209
P38919	Q6PII3
Q04695	Q15834
Q9NVV9	Q9NVV9
Q01844	Q9UEE9
Q96G04	Q9NRG1
P06753	Q9BQD3
P19012	Q9P2A4
P15622	Q96ED9
O43765	O95967
Q96HA8	Q99750
Q15025	Q96M61
Q01844	Q96MA1
P27658	Q9BQ66
Q12933	Q9H4K1
Q14296	Q93062
Q8TBB1	Q9UI14
Q6ZN18	Q86SE5
P26651	Q15834
P31269	Q93062
Q8TBN0	Q96QF0
Q15834	Q8N302
Q16799	Q9H8W4
Q9NQG5	Q9UGJ1
P61289	Q6ZVK8
Q8IYI6	Q9UL45
P78310	Q01844
O14576	Q96FJ2
Q9BSW7	Q9BY43
P25791	Q9UPY8
P48059	Q96KQ7
O15160	P15531
Q7Z7J5	Q7Z7J5
P56545	Q9H8T0
Q9BQD3	Q9NQZ6
P08727	Q8IYI6
O15372	Q9P2A4
Q96QG7	Q9NZD8
Q15654	Q8NEC5
O95751	Q5VWN6
Q9BY27	Q9NWS9
Q7Z6G3	Q8IYF3
Q15645	Q9NRQ2
O43916	P31947
O95251	Q92997
P49366	Q9GZV4
Q13228	Q15645
O43708	O43708
O15162	Q9NVZ3
P17275	Q9Y2I6
P49910	Q01844
Q9H9D4	Q9NVV9
Q0D2I5	Q96D59
P61457	Q8TBB1
Q14141	Q15019
Q9UMX0	Q9UMX0
P81877	Q01844
O60260	Q15645
Q01844	Q68CL5
Q96C28	Q99750
Q01844	Q96AX2
P07910	Q86SE5
P10451	Q8WYA6
O00444	Q5JR59
A4D1E9	Q7Z6G3
Q9NWS0	Q9Y3Q8
O43639	Q15654
P45973	Q9BWN1
O43186	Q8TC57
Q96D15	Q9UMX1
P48552	Q8IYF3
Q9BUY5	Q9Y2I6
O14964	O95751
Q15834	Q16512
P51116	Q8N5I3
O15162	Q9NTK1
O95967	Q96FE5
Q9BT92	Q9Y5B8
Q8TAU3	Q9BQ66
P23297	P23297
O15162	Q9BTL3
Q16630	Q53G59
O60936	P50552
P00492	Q96HA8
P25786	Q14566
O95201	Q13137
P32969	P49366
Q9UJ83	Q9UJ83
Q8NDP4	Q99750
O60504	Q96MA1
P02538	P19012
Q15834	Q7L590
Q15911	Q9Y2I6
P26368	Q96LR2
Q9BQD3	Q9H8S9
Q8NF64	Q9Y467
Q96KQ7	Q99612
O14641	Q8WTU0
O15162	Q9NRQ2
O15162	Q5TA45
Q13155	Q13643
Q15154	Q9Y3C0
P24278	Q9BQD3
P78337	Q93062
P35900	Q6PJT7
P17482	Q99750
P43364	Q05516
P11597	Q01844
Q8IYF3	Q93045
Q15038	Q9BVI4
Q96AQ6	Q99598
Q12933	Q15398
Q13643	Q8HWS3
O43765	Q13232
P61289	Q9BXC9
P61289	P84101
O15162	P46108
Q8WWR8	Q9BQY4
P51116	Q13137
Q05516	Q9NP79
O94972	Q15398
P49821	Q01844
P30048	P43364
P60709	P63261
Q96CW1	Q9UHP6
O14641	Q15287
O43707	Q9NPC6
O60573	P35900
O14639	O95751
P21673	Q9ULA0
Q15006	Q9Y3B6
Q8TAP4	Q9BQD3
Q969U6	Q99750
Q6PEW1	Q92624
O14641	Q8N684
P48378	Q99750
O95197	Q9Y5P4
P35900	Q53FD0
P17028	Q9NWS9
O60232	O60232
Q8IXK0	Q8IXK0
P43364	Q9BSJ1
P15531	Q9H8Y8
Q13643	Q9P286
Q86U70	Q8TAP4
O43251	Q15038
O94817	Q05397
Q15834	Q8IYX3
O76003	O95967
Q96HB5	Q99750
Q14134	Q96CN9
Q13643	Q96RN5
P08670	Q96GX9
P78368	Q9Y5P4
Q14566	Q9BWG6
P19474	Q9GZT8
P13805	Q13136
P43355	Q9BZY9
Q96LR2	Q9UL45
P50222	Q9Y512
P02538	Q04695
Q96FJ2	Q9NSC5
O15162	Q9H1Q7
Q15834	Q9BT92
P15622	Q9C0F1
O75152	P40692
Q12933	Q9UQN3
Q15056	Q9H3H3
Q15645	Q8IVS8
O75340	Q8NDC0
P13805	P13805
Q96GX9	Q9BRG1
Q15561	Q15834
Q96JP2	Q9Y620
Q8TBB1	Q9BQ66
Q6UY14	Q9BQ66
Q96BY6	Q96LR2
O60232	P49368
P14209	Q9UMX0
Q92624	Q9H1J7
Q8TBB1	Q9UJ70
Q13137	Q7L590
P10276	P28702
Q05D60	Q15834
P63010	Q9NVV9
P0DP24	Q9H0B3
Q9P2K6	Q9UHV2
Q12929	Q13155
Q6IA69	Q9NTM9
Q8N6Y0	Q9UJW9
O43639	Q5T5P2
O43439	Q96HA8
P84101	Q93062
Q3YEC7	Q99750
Q7Z6G3	Q7Z6G3
P08727	Q14966
P63010	Q96HA1
O95751	P05783
P08727	Q8N6Y0
Q12933	Q6FIF0
O15162	Q9BQ66
O94868	Q15834
Q16637	Q96PV6
P05783	Q8IYI6
P38159	Q9Y580
Q13137	Q9UNA4
Q15834	Q9P104
Q15834	Q8TAP4
O75558	Q9BQD3
O75506	Q9Y3C0
O43598	O43598
P0CG04	Q9UMX0
Q00587	Q13643
Q01844	Q96FJ2
P35398	P62195
Q56P03	Q9Y312
Q15834	Q6ZU52
O15287	Q8N6K7
O14641	Q96H20
P30281	Q96EV8
P21673	Q96F10
O95967	Q9H5Z6
Q12933	Q9UI26
Q8WZ19	Q96E35
O15198	Q13485
Q12933	Q7Z3B3
P26641	P29692
O95967	Q9UBZ4
P46108	Q7L190
O94972	Q96T60
Q8IXK0	Q8TAP4
Q15154	Q9NYB9
P30279	P38936
Q9BRC7	Q9HCM9
O94855	Q15437
O00148	P82979
O95967	Q9H4K1
P57077	Q8N5C8
Q9NP79	Q9NS73
Q15834	Q9NS73
Q53G59	Q9NP79
O15162	O60269
P57086	Q9NX65
P35520	Q8IV36
Q8TBB1	Q8WZ19
P23434	Q13287
Q13137	Q9UKA9
O96006	Q6ZVK8
Q01844	Q9H094
O43488	O95154
Q8N5F7	Q8NHQ1
Q08170	Q13247
Q9BQ66	Q9NZ81
Q8IYF3	Q96GY3
Q5TAQ9	Q99750
Q8TBB1	Q96M61
Q8IY31	Q9NSU2
P08670	Q9UGJ1
Q15834	Q9H4K1
Q13155	Q8TBB1
Q15637	Q93062
O60269	Q9BQ66
Q9BQ66	Q9BT49
O76083	Q96FC7
O60232	Q9NP79
P62875	Q15834
Q7Z6G3	Q9P2K3
Q99750	Q9GZM7
Q96HT8	Q9UBU8
Q15154	Q8IYI6
P43364	Q9NXH9
Q99750	Q9H9D4
Q9P126	Q9Y2I6
Q9BSW7	Q9Y2I6
O95967	P30281
Q969Y2	Q9NR21
O95154	O95154
P61978	Q9NQX5
O43683	P46108
Q9H446	Q9Y295
O96006	Q86YR5
O95273	Q9HCZ1
Q7Z7J5	Q9NP79
Q96CV9	Q9Y3C0
Q8TBB1	Q96GX9
P49639	Q9BQ66
O96006	Q9Y221
Q13444	Q15645
Q9NWS9	Q9UNY5
Q86UW9	Q9Y2X8
Q8IYR0	Q8WVD3
A8K8P3	Q99750
Q14687	Q9P2K3
O14978	Q9NZD8
P56279	Q7L7L0
