,Unnamed: 0,site_id,well_id,cell_type,dataset,experiment,plate,well,site,well_type,sirna,sirna_id
55021,96843,HUVEC-15_2_G23_2,HUVEC-15_2_G23,HUVEC,train,HUVEC-15,2,G23,2,treatment,s17960,861
55022,96844,HUVEC-15_2_H02_1,HUVEC-15_2_H02,HUVEC,train,HUVEC-15,2,H02,1,treatment,s19585,782
55023,96845,HUVEC-15_2_H02_2,HUVEC-15_2_H02,HUVEC,train,HUVEC-15,2,H02,2,treatment,s19585,782
55024,96846,HUVEC-15_2_H05_1,HUVEC-15_2_H05,HUVEC,train,HUVEC-15,2,H05,1,treatment,s225428,860
55025,96847,HUVEC-15_2_H05_2,HUVEC-15_2_H05,HUVEC,train,HUVEC-15,2,H05,2,treatment,s225428,860
55026,96848,HUVEC-15_2_H06_1,HUVEC-15_2_H06,HUVEC,train,HUVEC-15,2,H06,1,treatment,s20468,943
55027,96849,HUVEC-15_2_H06_2,HUVEC-15_2_H06,HUVEC,train,HUVEC-15,2,H06,2,treatment,s20468,943
55028,96850,HUVEC-15_2_H07_1,HUVEC-15_2_H07,HUVEC,train,HUVEC-15,2,H07,1,positive_control,s502431,1133
55029,96851,HUVEC-15_2_H07_2,HUVEC-15_2_H07,HUVEC,train,HUVEC-15,2,H07,2,positive_control,s502431,1133
55030,96852,HUVEC-15_2_H08_1,HUVEC-15_2_H08,HUVEC,train,HUVEC-15,2,H08,1,treatment,s18325,740
55031,96853,HUVEC-15_2_H08_2,HUVEC-15_2_H08,HUVEC,train,HUVEC-15,2,H08,2,treatment,s18325,740
55032,96854,HUVEC-15_2_H09_1,HUVEC-15_2_H09,HUVEC,train,HUVEC-15,2,H09,1,treatment,s19358,637
55033,96855,HUVEC-15_2_H09_2,HUVEC-15_2_H09,HUVEC,train,HUVEC-15,2,H09,2,treatment,s19358,637
55034,96856,HUVEC-15_2_H10_1,HUVEC-15_2_H10,HUVEC,train,HUVEC-15,2,H10,1,treatment,s18763,749
55035,96857,HUVEC-15_2_H10_2,HUVEC-15_2_H10,HUVEC,train,HUVEC-15,2,H10,2,treatment,s18763,749
55036,96858,HUVEC-15_2_H11_1,HUVEC-15_2_H11,HUVEC,train,HUVEC-15,2,H11,1,positive_control,s501307,1125
55037,96859,HUVEC-15_2_H11_2,HUVEC-15_2_H11,HUVEC,train,HUVEC-15,2,H11,2,positive_control,s501307,1125
55038,96860,HUVEC-15_2_H12_1,HUVEC-15_2_H12,HUVEC,train,HUVEC-15,2,H12,1,treatment,s20175,35
55039,96861,HUVEC-15_2_H12_2,HUVEC-15_2_H12,HUVEC,train,HUVEC-15,2,H12,2,treatment,s20175,35
55040,96862,HUVEC-15_2_H13_1,HUVEC-15_2_H13,HUVEC,train,HUVEC-15,2,H13,1,treatment,s19834,1105
55041,96863,HUVEC-15_2_H13_2,HUVEC-15_2_H13,HUVEC,train,HUVEC-15,2,H13,2,treatment,s19834,1105
55042,96864,HUVEC-15_2_H14_1,HUVEC-15_2_H14,HUVEC,train,HUVEC-15,2,H14,1,treatment,s20076,864
55043,96865,HUVEC-15_2_H14_2,HUVEC-15_2_H14,HUVEC,train,HUVEC-15,2,H14,2,treatment,s20076,864
55044,96866,HUVEC-15_2_H15_1,HUVEC-15_2_H15,HUVEC,train,HUVEC-15,2,H15,1,positive_control,s501309,1126
55045,96867,HUVEC-15_2_H15_2,HUVEC-15_2_H15,HUVEC,train,HUVEC-15,2,H15,2,positive_control,s501309,1126
55046,96868,HUVEC-15_2_H16_1,HUVEC-15_2_H16,HUVEC,train,HUVEC-15,2,H16,1,treatment,s19606,590
55047,96869,HUVEC-15_2_H16_2,HUVEC-15_2_H16,HUVEC,train,HUVEC-15,2,H16,2,treatment,s19606,590
55048,96870,HUVEC-15_2_H17_1,HUVEC-15_2_H17,HUVEC,train,HUVEC-15,2,H17,1,treatment,s19846,127
55049,96871,HUVEC-15_2_H17_2,HUVEC-15_2_H17,HUVEC,train,HUVEC-15,2,H17,2,treatment,s19846,127
55050,96872,HUVEC-15_2_H18_1,HUVEC-15_2_H18,HUVEC,train,HUVEC-15,2,H18,1,treatment,s18944,748
55051,96873,HUVEC-15_2_H18_2,HUVEC-15_2_H18,HUVEC,train,HUVEC-15,2,H18,2,treatment,s18944,748
55052,96874,HUVEC-15_2_H19_1,HUVEC-15_2_H19,HUVEC,train,HUVEC-15,2,H19,1,positive_control,s501357,1131
55053,96875,HUVEC-15_2_H19_2,HUVEC-15_2_H19,HUVEC,train,HUVEC-15,2,H19,2,positive_control,s501357,1131
55054,96876,HUVEC-15_2_H20_1,HUVEC-15_2_H20,HUVEC,train,HUVEC-15,2,H20,1,treatment,s19079,1018
55055,96877,HUVEC-15_2_H20_2,HUVEC-15_2_H20,HUVEC,train,HUVEC-15,2,H20,2,treatment,s19079,1018
55056,96878,HUVEC-15_2_H21_1,HUVEC-15_2_H21,HUVEC,train,HUVEC-15,2,H21,1,treatment,s228514,410
55057,96879,HUVEC-15_2_H21_2,HUVEC-15_2_H21,HUVEC,train,HUVEC-15,2,H21,2,treatment,s228514,410
55058,96880,HUVEC-15_2_H22_1,HUVEC-15_2_H22,HUVEC,train,HUVEC-15,2,H22,1,positive_control,s13580,1111
55059,96881,HUVEC-15_2_H22_2,HUVEC-15_2_H22,HUVEC,train,HUVEC-15,2,H22,2,positive_control,s13580,1111
55060,96882,HUVEC-15_2_H23_1,HUVEC-15_2_H23,HUVEC,train,HUVEC-15,2,H23,1,treatment,s195047,533
55061,96883,HUVEC-15_2_H23_2,HUVEC-15_2_H23,HUVEC,train,HUVEC-15,2,H23,2,treatment,s195047,533
55062,96884,HUVEC-15_2_I02_1,HUVEC-15_2_I02,HUVEC,train,HUVEC-15,2,I02,1,treatment,s18992,672
55063,96885,HUVEC-15_2_I02_2,HUVEC-15_2_I02,HUVEC,train,HUVEC-15,2,I02,2,treatment,s18992,672
55064,96886,HUVEC-15_2_I03_1,HUVEC-15_2_I03,HUVEC,train,HUVEC-15,2,I03,1,treatment,s228513,603
55065,96887,HUVEC-15_2_I03_2,HUVEC-15_2_I03,HUVEC,train,HUVEC-15,2,I03,2,treatment,s228513,603
55066,96888,HUVEC-15_2_I04_1,HUVEC-15_2_I04,HUVEC,train,HUVEC-15,2,I04,1,treatment,s18905,121
55067,96889,HUVEC-15_2_I04_2,HUVEC-15_2_I04,HUVEC,train,HUVEC-15,2,I04,2,treatment,s18905,121
55068,96890,HUVEC-15_2_I05_1,HUVEC-15_2_I05,HUVEC,train,HUVEC-15,2,I05,1,treatment,s17831,32
55069,96891,HUVEC-15_2_I05_2,HUVEC-15_2_I05,HUVEC,train,HUVEC-15,2,I05,2,treatment,s17831,32
55070,96892,HUVEC-15_2_I06_1,HUVEC-15_2_I06,HUVEC,train,HUVEC-15,2,I06,1,treatment,s20546,608
55071,96893,HUVEC-15_2_I06_2,HUVEC-15_2_I06,HUVEC,train,HUVEC-15,2,I06,2,treatment,s20546,608
55072,96894,HUVEC-15_2_I07_1,HUVEC-15_2_I07,HUVEC,train,HUVEC-15,2,I07,1,treatment,s19477,652
55073,96895,HUVEC-15_2_I07_2,HUVEC-15_2_I07,HUVEC,train,HUVEC-15,2,I07,2,treatment,s19477,652
55074,96896,HUVEC-15_2_I08_1,HUVEC-15_2_I08,HUVEC,train,HUVEC-15,2,I08,1,treatment,s18742,738
55075,96897,HUVEC-15_2_I08_2,HUVEC-15_2_I08,HUVEC,train,HUVEC-15,2,I08,2,treatment,s18742,738
55076,96898,HUVEC-15_2_I09_1,HUVEC-15_2_I09,HUVEC,train,HUVEC-15,2,I09,1,treatment,s19861,170
55077,96899,HUVEC-15_2_I09_2,HUVEC-15_2_I09,HUVEC,train,HUVEC-15,2,I09,2,treatment,s19861,170
55078,96900,HUVEC-15_2_I10_1,HUVEC-15_2_I10,HUVEC,train,HUVEC-15,2,I10,1,treatment,s18787,796
55079,96901,HUVEC-15_2_I10_2,HUVEC-15_2_I10,HUVEC,train,HUVEC-15,2,I10,2,treatment,s18787,796
55080,96902,HUVEC-15_2_I11_1,HUVEC-15_2_I11,HUVEC,train,HUVEC-15,2,I11,1,treatment,s228494,259
55081,96903,HUVEC-15_2_I11_2,HUVEC-15_2_I11,HUVEC,train,HUVEC-15,2,I11,2,treatment,s228494,259
55082,96904,HUVEC-15_2_I12_1,HUVEC-15_2_I12,HUVEC,train,HUVEC-15,2,I12,1,treatment,s20426,252
55083,96905,HUVEC-15_2_I12_2,HUVEC-15_2_I12,HUVEC,train,HUVEC-15,2,I12,2,treatment,s20426,252
55084,96906,HUVEC-15_2_I13_1,HUVEC-15_2_I13,HUVEC,train,HUVEC-15,2,I13,1,treatment,s20365,359
55085,96907,HUVEC-15_2_I13_2,HUVEC-15_2_I13,HUVEC,train,HUVEC-15,2,I13,2,treatment,s20365,359
55086,96908,HUVEC-15_2_I14_1,HUVEC-15_2_I14,HUVEC,train,HUVEC-15,2,I14,1,treatment,s19055,377
55087,96909,HUVEC-15_2_I14_2,HUVEC-15_2_I14,HUVEC,train,HUVEC-15,2,I14,2,treatment,s19055,377
55088,96910,HUVEC-15_2_I15_1,HUVEC-15_2_I15,HUVEC,train,HUVEC-15,2,I15,1,treatment,s18941,191
55089,96911,HUVEC-15_2_I15_2,HUVEC-15_2_I15,HUVEC,train,HUVEC-15,2,I15,2,treatment,s18941,191
55090,96912,HUVEC-15_2_I16_1,HUVEC-15_2_I16,HUVEC,train,HUVEC-15,2,I16,1,treatment,s18848,616
55091,96913,HUVEC-15_2_I16_2,HUVEC-15_2_I16,HUVEC,train,HUVEC-15,2,I16,2,treatment,s18848,616
55092,96914,HUVEC-15_2_I17_1,HUVEC-15_2_I17,HUVEC,train,HUVEC-15,2,I17,1,treatment,s20483,1087
55093,96915,HUVEC-15_2_I17_2,HUVEC-15_2_I17,HUVEC,train,HUVEC-15,2,I17,2,treatment,s20483,1087
55094,96916,HUVEC-15_2_I18_1,HUVEC-15_2_I18,HUVEC,train,HUVEC-15,2,I18,1,treatment,s17619,246
55095,96917,HUVEC-15_2_I18_2,HUVEC-15_2_I18,HUVEC,train,HUVEC-15,2,I18,2,treatment,s17619,246
55096,96918,HUVEC-15_2_I19_1,HUVEC-15_2_I19,HUVEC,train,HUVEC-15,2,I19,1,treatment,s19193,310
55097,96919,HUVEC-15_2_I19_2,HUVEC-15_2_I19,HUVEC,train,HUVEC-15,2,I19,2,treatment,s19193,310
55098,96920,HUVEC-15_2_I20_1,HUVEC-15_2_I20,HUVEC,train,HUVEC-15,2,I20,1,treatment,s18268,664
55099,96921,HUVEC-15_2_I20_2,HUVEC-15_2_I20,HUVEC,train,HUVEC-15,2,I20,2,treatment,s18268,664
55100,96922,HUVEC-15_2_I21_1,HUVEC-15_2_I21,HUVEC,train,HUVEC-15,2,I21,1,treatment,s17744,820
55101,96923,HUVEC-15_2_I21_2,HUVEC-15_2_I21,HUVEC,train,HUVEC-15,2,I21,2,treatment,s17744,820
55102,96924,HUVEC-15_2_I22_1,HUVEC-15_2_I22,HUVEC,train,HUVEC-15,2,I22,1,treatment,s18592,120
55103,96925,HUVEC-15_2_I22_2,HUVEC-15_2_I22,HUVEC,train,HUVEC-15,2,I22,2,treatment,s18592,120
55104,96926,HUVEC-15_2_I23_1,HUVEC-15_2_I23,HUVEC,train,HUVEC-15,2,I23,1,treatment,s228506,763
55105,96927,HUVEC-15_2_I23_2,HUVEC-15_2_I23,HUVEC,train,HUVEC-15,2,I23,2,treatment,s228506,763
55106,96928,HUVEC-15_2_J02_1,HUVEC-15_2_J02,HUVEC,train,HUVEC-15,2,J02,1,treatment,s19346,1099
55107,96929,HUVEC-15_2_J02_2,HUVEC-15_2_J02,HUVEC,train,HUVEC-15,2,J02,2,treatment,s19346,1099
55108,96930,HUVEC-15_2_J03_1,HUVEC-15_2_J03,HUVEC,train,HUVEC-15,2,J03,1,positive_control,n337250,1108
55109,96931,HUVEC-15_2_J03_2,HUVEC-15_2_J03,HUVEC,train,HUVEC-15,2,J03,2,positive_control,n337250,1108
55110,96932,HUVEC-15_2_J04_1,HUVEC-15_2_J04,HUVEC,train,HUVEC-15,2,J04,1,treatment,s20462,115
55111,96933,HUVEC-15_2_J04_2,HUVEC-15_2_J04,HUVEC,train,HUVEC-15,2,J04,2,treatment,s20462,115
55112,96934,HUVEC-15_2_J05_1,HUVEC-15_2_J05,HUVEC,train,HUVEC-15,2,J05,1,treatment,s20401,229
55113,96935,HUVEC-15_2_J05_2,HUVEC-15_2_J05,HUVEC,train,HUVEC-15,2,J05,2,treatment,s20401,229
55114,96936,HUVEC-15_2_J06_1,HUVEC-15_2_J06,HUVEC,train,HUVEC-15,2,J06,1,treatment,s19720,437
55115,96937,HUVEC-15_2_J06_2,HUVEC-15_2_J06,HUVEC,train,HUVEC-15,2,J06,2,treatment,s19720,437
55116,96938,HUVEC-15_2_J07_1,HUVEC-15_2_J07,HUVEC,train,HUVEC-15,2,J07,1,positive_control,s15788,1115
55117,96939,HUVEC-15_2_J07_2,HUVEC-15_2_J07,HUVEC,train,HUVEC-15,2,J07,2,positive_control,s15788,1115
55118,96940,HUVEC-15_2_J08_1,HUVEC-15_2_J08,HUVEC,train,HUVEC-15,2,J08,1,treatment,s20441,123
55119,96941,HUVEC-15_2_J08_2,HUVEC-15_2_J08,HUVEC,train,HUVEC-15,2,J08,2,treatment,s20441,123
55120,96942,HUVEC-15_2_J09_1,HUVEC-15_2_J09,HUVEC,train,HUVEC-15,2,J09,1,treatment,s18920,180
55121,96943,HUVEC-15_2_J09_2,HUVEC-15_2_J09,HUVEC,train,HUVEC-15,2,J09,2,treatment,s18920,180
55122,96944,HUVEC-15_2_J10_1,HUVEC-15_2_J10,HUVEC,train,HUVEC-15,2,J10,1,treatment,s228527,755
55123,96945,HUVEC-15_2_J10_2,HUVEC-15_2_J10,HUVEC,train,HUVEC-15,2,J10,2,treatment,s228527,755
55124,96946,HUVEC-15_2_J11_1,HUVEC-15_2_J11,HUVEC,train,HUVEC-15,2,J11,1,positive_control,s501323,1127
55125,96947,HUVEC-15_2_J11_2,HUVEC-15_2_J11,HUVEC,train,HUVEC-15,2,J11,2,positive_control,s501323,1127
55126,96948,HUVEC-15_2_J12_1,HUVEC-15_2_J12,HUVEC,train,HUVEC-15,2,J12,1,treatment,s225425,666
55127,96949,HUVEC-15_2_J12_2,HUVEC-15_2_J12,HUVEC,train,HUVEC-15,2,J12,2,treatment,s225425,666
55128,96950,HUVEC-15_2_J13_1,HUVEC-15_2_J13,HUVEC,train,HUVEC-15,2,J13,1,treatment,s19001,186
55129,96951,HUVEC-15_2_J13_2,HUVEC-15_2_J13,HUVEC,train,HUVEC-15,2,J13,2,treatment,s19001,186
55130,96952,HUVEC-15_2_J14_1,HUVEC-15_2_J14,HUVEC,train,HUVEC-15,2,J14,1,treatment,s228479,283
55131,96953,HUVEC-15_2_J14_2,HUVEC-15_2_J14,HUVEC,train,HUVEC-15,2,J14,2,treatment,s228479,283
55132,96954,HUVEC-15_2_J15_1,HUVEC-15_2_J15,HUVEC,train,HUVEC-15,2,J15,1,positive_control,s1174,1109
55133,96955,HUVEC-15_2_J15_2,HUVEC-15_2_J15,HUVEC,train,HUVEC-15,2,J15,2,positive_control,s1174,1109
55134,96956,HUVEC-15_2_J16_1,HUVEC-15_2_J16,HUVEC,train,HUVEC-15,2,J16,1,treatment,s18157,250
55135,96957,HUVEC-15_2_J16_2,HUVEC-15_2_J16,HUVEC,train,HUVEC-15,2,J16,2,treatment,s18157,250
55136,96958,HUVEC-15_2_J17_1,HUVEC-15_2_J17,HUVEC,train,HUVEC-15,2,J17,1,treatment,s18902,210
55137,96959,HUVEC-15_2_J17_2,HUVEC-15_2_J17,HUVEC,train,HUVEC-15,2,J17,2,treatment,s18902,210
55138,96960,HUVEC-15_2_J18_1,HUVEC-15_2_J18,HUVEC,train,HUVEC-15,2,J18,1,treatment,s19088,546
55139,96961,HUVEC-15_2_J18_2,HUVEC-15_2_J18,HUVEC,train,HUVEC-15,2,J18,2,treatment,s19088,546
55140,96962,HUVEC-15_2_J19_1,HUVEC-15_2_J19,HUVEC,train,HUVEC-15,2,J19,1,positive_control,s502432,1134
55141,96963,HUVEC-15_2_J19_2,HUVEC-15_2_J19,HUVEC,train,HUVEC-15,2,J19,2,positive_control,s502432,1134
55142,96964,HUVEC-15_2_J20_1,HUVEC-15_2_J20,HUVEC,train,HUVEC-15,2,J20,1,treatment,s20268,271
55143,96965,HUVEC-15_2_J20_2,HUVEC-15_2_J20,HUVEC,train,HUVEC-15,2,J20,2,treatment,s20268,271
55144,96966,HUVEC-15_2_J21_1,HUVEC-15_2_J21,HUVEC,train,HUVEC-15,2,J21,1,treatment,s225423,114
55145,96967,HUVEC-15_2_J21_2,HUVEC-15_2_J21,HUVEC,train,HUVEC-15,2,J21,2,treatment,s225423,114
55146,96968,HUVEC-15_2_J22_1,HUVEC-15_2_J22,HUVEC,train,HUVEC-15,2,J22,1,positive_control,s14484,1112
55147,96969,HUVEC-15_2_J22_2,HUVEC-15_2_J22,HUVEC,train,HUVEC-15,2,J22,2,positive_control,s14484,1112
55148,96970,HUVEC-15_2_J23_1,HUVEC-15_2_J23,HUVEC,train,HUVEC-15,2,J23,1,treatment,s19615,369
55149,96971,HUVEC-15_2_J23_2,HUVEC-15_2_J23,HUVEC,train,HUVEC-15,2,J23,2,treatment,s19615,369
55150,96972,HUVEC-15_2_K02_1,HUVEC-15_2_K02,HUVEC,train,HUVEC-15,2,K02,1,treatment,s228480,380
55151,96973,HUVEC-15_2_K02_2,HUVEC-15_2_K02,HUVEC,train,HUVEC-15,2,K02,2,treatment,s228480,380
55152,96974,HUVEC-15_2_K03_1,HUVEC-15_2_K03,HUVEC,train,HUVEC-15,2,K03,1,treatment,s19394,314
55153,96975,HUVEC-15_2_K03_2,HUVEC-15_2_K03,HUVEC,train,HUVEC-15,2,K03,2,treatment,s19394,314
55154,96976,HUVEC-15_2_K04_1,HUVEC-15_2_K04,HUVEC,train,HUVEC-15,2,K04,1,treatment,s17634,1085
55155,96977,HUVEC-15_2_K04_2,HUVEC-15_2_K04,HUVEC,train,HUVEC-15,2,K04,2,treatment,s17634,1085
55156,96978,HUVEC-15_2_K05_1,HUVEC-15_2_K05,HUVEC,train,HUVEC-15,2,K05,1,treatment,s20002,29
55157,96979,HUVEC-15_2_K05_2,HUVEC-15_2_K05,HUVEC,train,HUVEC-15,2,K05,2,treatment,s20002,29
55158,96980,HUVEC-15_2_K06_1,HUVEC-15_2_K06,HUVEC,train,HUVEC-15,2,K06,1,treatment,s18760,448
55159,96981,HUVEC-15_2_K06_2,HUVEC-15_2_K06,HUVEC,train,HUVEC-15,2,K06,2,treatment,s18760,448
55160,96982,HUVEC-15_2_K07_1,HUVEC-15_2_K07,HUVEC,train,HUVEC-15,2,K07,1,treatment,s225439,1068
55161,96983,HUVEC-15_2_K07_2,HUVEC-15_2_K07,HUVEC,train,HUVEC-15,2,K07,2,treatment,s225439,1068
55162,96984,HUVEC-15_2_K08_1,HUVEC-15_2_K08,HUVEC,train,HUVEC-15,2,K08,1,treatment,s18313,593
55163,96985,HUVEC-15_2_K08_2,HUVEC-15_2_K08,HUVEC,train,HUVEC-15,2,K08,2,treatment,s18313,593
55164,96986,HUVEC-15_2_K09_1,HUVEC-15_2_K09,HUVEC,train,HUVEC-15,2,K09,1,treatment,s228507,1000
55165,96987,HUVEC-15_2_K09_2,HUVEC-15_2_K09,HUVEC,train,HUVEC-15,2,K09,2,treatment,s228507,1000
55166,96988,HUVEC-15_2_K10_1,HUVEC-15_2_K10,HUVEC,train,HUVEC-15,2,K10,1,treatment,s18625,289
55167,96989,HUVEC-15_2_K10_2,HUVEC-15_2_K10,HUVEC,train,HUVEC-15,2,K10,2,treatment,s18625,289
55168,96990,HUVEC-15_2_K11_1,HUVEC-15_2_K11,HUVEC,train,HUVEC-15,2,K11,1,treatment,s18634,908
55169,96991,HUVEC-15_2_K11_2,HUVEC-15_2_K11,HUVEC,train,HUVEC-15,2,K11,2,treatment,s18634,908
55170,96992,HUVEC-15_2_K12_1,HUVEC-15_2_K12,HUVEC,train,HUVEC-15,2,K12,1,treatment,s18980,396
55171,96993,HUVEC-15_2_K12_2,HUVEC-15_2_K12,HUVEC,train,HUVEC-15,2,K12,2,treatment,s18980,396
55172,96994,HUVEC-15_2_K13_1,HUVEC-15_2_K13,HUVEC,train,HUVEC-15,2,K13,1,treatment,s225417,184
55173,96995,HUVEC-15_2_K13_2,HUVEC-15_2_K13,HUVEC,train,HUVEC-15,2,K13,2,treatment,s225417,184
55174,96996,HUVEC-15_2_K14_1,HUVEC-15_2_K14,HUVEC,train,HUVEC-15,2,K14,1,treatment,s18352,665
55175,96997,HUVEC-15_2_K14_2,HUVEC-15_2_K14,HUVEC,train,HUVEC-15,2,K14,2,treatment,s18352,665
55176,96998,HUVEC-15_2_K15_1,HUVEC-15_2_K15,HUVEC,train,HUVEC-15,2,K15,1,treatment,s18502,463
55177,96999,HUVEC-15_2_K15_2,HUVEC-15_2_K15,HUVEC,train,HUVEC-15,2,K15,2,treatment,s18502,463
55178,97000,HUVEC-15_2_K16_1,HUVEC-15_2_K16,HUVEC,train,HUVEC-15,2,K16,1,treatment,s20073,614
55179,97001,HUVEC-15_2_K16_2,HUVEC-15_2_K16,HUVEC,train,HUVEC-15,2,K16,2,treatment,s20073,614
55180,97002,HUVEC-15_2_K17_1,HUVEC-15_2_K17,HUVEC,train,HUVEC-15,2,K17,1,treatment,s20214,443
55181,97003,HUVEC-15_2_K17_2,HUVEC-15_2_K17,HUVEC,train,HUVEC-15,2,K17,2,treatment,s20214,443
55182,97004,HUVEC-15_2_K18_1,HUVEC-15_2_K18,HUVEC,train,HUVEC-15,2,K18,1,treatment,s225441,98
55183,97005,HUVEC-15_2_K18_2,HUVEC-15_2_K18,HUVEC,train,HUVEC-15,2,K18,2,treatment,s225441,98
55184,97006,HUVEC-15_2_K19_1,HUVEC-15_2_K19,HUVEC,train,HUVEC-15,2,K19,1,treatment,s20477,368
55185,97007,HUVEC-15_2_K19_2,HUVEC-15_2_K19,HUVEC,train,HUVEC-15,2,K19,2,treatment,s20477,368
55186,97008,HUVEC-15_2_K20_1,HUVEC-15_2_K20,HUVEC,train,HUVEC-15,2,K20,1,treatment,s228510,834
55187,97009,HUVEC-15_2_K20_2,HUVEC-15_2_K20,HUVEC,train,HUVEC-15,2,K20,2,treatment,s228510,834
55188,97010,HUVEC-15_2_K21_1,HUVEC-15_2_K21,HUVEC,train,HUVEC-15,2,K21,1,treatment,s19223,963
55189,97011,HUVEC-15_2_K21_2,HUVEC-15_2_K21,HUVEC,train,HUVEC-15,2,K21,2,treatment,s19223,963
55190,97012,HUVEC-15_2_K22_1,HUVEC-15_2_K22,HUVEC,train,HUVEC-15,2,K22,1,treatment,s19501,768
55191,97013,HUVEC-15_2_K22_2,HUVEC-15_2_K22,HUVEC,train,HUVEC-15,2,K22,2,treatment,s19501,768
55192,97014,HUVEC-15_2_K23_1,HUVEC-15_2_K23,HUVEC,train,HUVEC-15,2,K23,1,treatment,s19576,119
55193,97015,HUVEC-15_2_K23_2,HUVEC-15_2_K23,HUVEC,train,HUVEC-15,2,K23,2,treatment,s19576,119
55194,97016,HUVEC-15_2_L02_1,HUVEC-15_2_L02,HUVEC,train,HUVEC-15,2,L02,1,treatment,s18923,548
55195,97017,HUVEC-15_2_L02_2,HUVEC-15_2_L02,HUVEC,train,HUVEC-15,2,L02,2,treatment,s18923,548
55196,97018,HUVEC-15_2_L03_1,HUVEC-15_2_L03,HUVEC,train,HUVEC-15,2,L03,1,treatment,s19247,469
55197,97019,HUVEC-15_2_L03_2,HUVEC-15_2_L03,HUVEC,train,HUVEC-15,2,L03,2,treatment,s19247,469
55198,97020,HUVEC-15_2_L04_1,HUVEC-15_2_L04,HUVEC,train,HUVEC-15,2,L04,1,treatment,s20184,808
55199,97021,HUVEC-15_2_L04_2,HUVEC-15_2_L04,HUVEC,train,HUVEC-15,2,L04,2,treatment,s20184,808
55200,97022,HUVEC-15_2_L05_1,HUVEC-15_2_L05,HUVEC,train,HUVEC-15,2,L05,1,treatment,s18938,159
55201,97023,HUVEC-15_2_L05_2,HUVEC-15_2_L05,HUVEC,train,HUVEC-15,2,L05,2,treatment,s18938,159
55202,97024,HUVEC-15_2_L06_1,HUVEC-15_2_L06,HUVEC,train,HUVEC-15,2,L06,1,treatment,s18622,62
55203,97025,HUVEC-15_2_L06_2,HUVEC-15_2_L06,HUVEC,train,HUVEC-15,2,L06,2,treatment,s18622,62
55204,97026,HUVEC-15_2_L07_1,HUVEC-15_2_L07,HUVEC,train,HUVEC-15,2,L07,1,treatment,s20336,190
55205,97027,HUVEC-15_2_L07_2,HUVEC-15_2_L07,HUVEC,train,HUVEC-15,2,L07,2,treatment,s20336,190
